setting,species,signal,specific,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,D_fs,D_gr,D_jt,D_mo,D_NA,D_pl,D_st,D_sx,no_subjects
wild,Bor,present obj,0,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
wild,Bor,pull,0,manual ,0.890909091,T,pl,0,0,11,0,0,98,1,0,110,0,0,0.1,0,0,0.890909091,0.009090909,0,14
wild,Bor,push,0,manual ,0.576923077,L,st,5,0,0,0,0,4,15,2,26,0.192307692,0,0,0,0,0.153846154,0.576923077,0.076923077,12
wild,Bor,reach,0,manual ,0.444444444,A,fs,8,0,3,0,0,7,0,0,18,0.444444444,0,0.166666667,0,0,0.388888889,0,0,10
wild,Bor,swing/dangle,0,bodily,1,T,pl,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,7
wild,Bor,touch,0,manual ,0.874476987,T,pl,4,33,8,0,0,418,3,12,478,0.008368201,0.069037657,0.016736402,0,0,0.874476987,0.006276151,0.025104603,20
captive,Sum,beg hand-hand,0,manual ,0.944444444,T,fs,17,0,0,0,0,1,0,0,18,0.944444444,0,0,0,0,0.055555556,0,0,13
captive,Sum,beg hand-mouth,0,manual ,1,T,fs,16,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,13
captive,Sum,beg mouth-hand,0,bodily,1,T,fs,46,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,10
captive,Sum,beg mouth-mouth,0,bodily,1,T,fs,63,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,12
captive,Sum,bite,0,bodily,0.75,T,pl,0,0,0,1,1,21,4,1,28,0,0,0,0.035714286,0.035714286,0.75,0.142857143,0.035714286,15
captive,Sum,bite attempt,0,bodily,0.757575758,T,pl,0,0,0,1,0,25,7,0,33,0,0,0,0.03030303,0,0.757575758,0.212121212,0,16
captive,Sum,embrace,0,manual ,0.882352941,T,pl,0,1,1,0,0,15,0,0,17,0,0.058823529,0.058823529,0,0,0.882352941,0,0,11
captive,Sum,flail limb,0,manual ,0.75,T,pl,1,0,0,0,1,12,2,0,16,0.0625,0,0,0,0.0625,0.75,0.125,0,9
captive,Sum,flap lip,1,facial,1,T,st,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,5
