no,setting,species,signal,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,max_cases,no_subjects
65,captive,Sum,beg mouth-mouth,bodily,1,T,fs,63,0,0,0,0,0,0,0,63,63,12
66,captive,Sum,bite,bodily,0.75,T,pl,0,0,0,1,1,21,4,1,28,21,15
67,captive,Sum,bite attempt,bodily,0.757575758,T,pl,0,0,0,1,0,25,7,0,33,25,16
68,captive,Sum,embrace,manual ,0.882352941,T,pl,0,1,1,0,0,15,0,0,17,15,11
69,captive,Sum,flail limb,manual ,0.75,T,pl,1,0,0,0,1,12,2,0,16,12,9
70,captive,Sum,flap lip,facial,1,T,st,0,0,0,0,0,0,6,0,6,6,5
71,captive,Sum,grab/hold onto,manual ,0.73255814,L,pl,3,0,11,1,1,63,5,2,86,63,17
72,captive,Sum,head-butt,bodily,1,T,pl,0,0,0,0,0,14,0,0,14,14,10
73,captive,Sum,hit/kick,manual ,0.935483871,T,pl,0,0,0,0,0,29,2,0,31,29,13
74,captive,Sum,kiss,bodily,0.739130435,T,pl,0,4,0,0,0,17,0,2,23,17,14
75,captive,Sum,lay down,bodily,1,T,pl,0,0,0,0,0,1,0,0,1,1,3
76,captive,Sum,look at,bodily,0.785714286,L,pl,0,1,2,1,0,22,2,0,28,22,13
77,captive,Sum,look back at,bodily,0.764705882,T,pl,0,1,3,0,0,13,0,0,17,13,9
78,captive,Sum,head-stand,bodily,1,T,pl,0,0,0,0,0,4,0,0,4,4,1
79,captive,Sum,peer,bodily,0.736842105,T,fs,14,0,0,0,0,5,0,0,19,14,16
80,captive,Sum,place limb,manual ,0.823529412,T,pl,0,1,0,0,0,14,2,0,17,14,8
81,captive,Sum,play face,facial,0.954545455,T,pl,0,0,0,1,0,21,0,0,22,21,11
82,captive,Sum,poke,manual ,0.804878049,T,pl,0,0,0,3,1,33,4,0,41,33,12
83,captive,Sum,pout face,facial,0.8,T,pl,1,0,0,0,0,4,0,0,5,4,5
84,captive,Sum,present bp,bodily,0.52173913,L,gr,1,12,2,0,0,7,0,1,23,12,8
85,captive,Sum,present obj,manual ,1,T,pl,0,0,0,0,0,11,0,0,11,11,6
